tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,16,16,7,20.174379039149958,19.00948856330426,64,64
1,0,64,64,128,16,16,7,17.98713262817589,19.017640629628186,64,64
2,0,128,64,192,16,16,7,20.371815728934163,20.559402802255885,64,64
3,0,192,64,256,16,16,7,21.326944535047858,21.112268582780725,64,64
4,64,0,128,64,16,16,7,16.727308922956837,16.741971704997905,64,64
5,64,64,128,128,16,16,7,15.958261206227123,15.986599969096382,64,64
6,64,128,128,192,16,16,7,18.871347695053053,18.924073403106142,64,64
7,64,192,128,256,16,16,7,22.161236073726435,21.99435599276874,64,64
8,128,0,192,64,16,16,7,17.39367598743003,18.026854494421823,64,64
9,128,64,192,128,16,16,7,15.917944678790777,15.74198517809201,64,64
10,128,128,192,192,16,16,7,14.59345180028408,14.363422546957485,64,64
11,128,192,192,256,16,16,7,18.7872460790622,19.031216284500204,64,64
12,192,0,256,64,16,16,7,25.162588329454174,18.116380747970922,64,64
13,192,64,256,128,16,16,7,22.29268751325818,20.163296434826062,64,64
14,192,128,256,192,16,16,7,19.36647648717487,19.80367337638382,64,64
15,192,192,256,256,16,16,7,21.408635049787605,19.457410662865133,64,64
