tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,16,16,7,14.666092462507676,14.527118076674093,64,64
1,0,64,64,128,16,16,7,13.465647770435305,12.974728567699154,64,64
2,0,128,64,192,16,16,7,13.410507098290925,12.576292366141999,64,64
3,0,192,64,256,16,16,7,19.660340460643248,16.449689524316163,64,64
4,64,0,128,64,16,16,7,16.228552155156148,15.263451772864961,64,64
5,64,64,128,128,16,16,7,13.523434228397264,13.765459576730139,64,64
6,64,128,128,192,16,16,7,13.248330146734373,12.891336330263643,64,64
7,64,192,128,256,16,16,7,15.706981476424343,14.605573775746244,64,64
8,128,0,192,64,16,16,7,16.459737017385628,17.532459016075897,64,64
9,128,64,192,128,16,16,7,17.221317332032005,16.136771503478577,64,64
10,128,128,192,192,16,16,7,17.7557702155326,15.515663527507966,64,64
11,128,192,192,256,16,16,7,18.867489890726127,18.643970690074926,64,64
12,192,0,256,64,16,16,7,19.594903814619226,16.893433649854973,64,64
13,192,64,256,128,16,16,7,17.1867993975266,15.267797037650723,64,64
14,192,128,256,192,16,16,7,16.799278877174192,16.425574207532765,64,64
15,192,192,256,256,16,16,7,18.35335263556681,16.749979049241404,64,64
