tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,16,16,7,17.98731020833831,18.022174964333495,64,64
1,0,64,64,128,16,16,7,18.35305858270487,18.636122491957472,64,64
2,0,128,64,192,16,16,7,17.099890969091653,17.20249831360504,64,64
3,0,192,64,256,16,16,7,17.795894973196393,17.479859537476475,64,64
4,64,0,128,64,16,16,7,20.445940617271944,19.801231721699658,64,64
5,64,64,128,128,16,16,7,19.68546294181198,17.2992935991319,64,64
6,64,128,128,192,16,16,7,19.474012818925996,18.48926169089403,64,64
7,64,192,128,256,16,16,7,20.04101134097356,18.82531313010237,64,64
8,128,0,192,64,16,16,7,20.174935216225705,19.255010878010552,64,64
9,128,64,192,128,16,16,7,19.775946265485956,17.56371141568106,64,64
10,128,128,192,192,16,16,7,16.38895058835942,16.137259534435493,64,64
11,128,192,192,256,16,16,7,17.277639225792623,16.04312337237284,64,64
12,192,0,256,64,16,16,7,20.690752700439973,21.90267075069655,64,64
13,192,64,256,128,16,16,7,19.365069129556343,19.177405887211776,64,64
14,192,128,256,192,16,16,7,21.085802893807838,21.642856540894275,64,64
15,192,192,256,256,16,16,7,20.234934842802662,20.587794400653834,64,64
