tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,16,16,7,21.322955905853995,21.51397802151891,64,64
1,0,64,64,128,16,16,7,20.471318206052032,19.96906827845676,64,64
2,0,128,64,192,16,16,7,20.885828109714573,18.159111203449292,64,64
3,0,192,64,256,16,16,7,21.42165008055963,18.52795130337971,64,64
4,64,0,128,64,16,16,7,15.873123406229926,14.981260716651283,64,64
5,64,64,128,128,16,16,7,19.549762391245856,19.21453470589948,64,64
6,64,128,128,192,16,16,7,13.534444686848277,14.66375768632609,64,64
7,64,192,128,256,16,16,7,20.86481581165211,20.861878881134377,64,64
8,128,0,192,64,16,16,7,21.450558064571386,21.261261424012904,64,64
9,128,64,192,128,16,16,7,21.754273793624908,20.573170846670692,64,64
10,128,128,192,192,16,16,7,24.651730980785885,17.092737928078297,64,64
11,128,192,192,256,16,16,7,20.391219820746144,19.037098965206166,64,64
12,192,0,256,64,16,16,7,23.862167661131256,19.78469720605289,64,64
13,192,64,256,128,16,16,7,21.615792425918386,20.849131963497417,64,64
14,192,128,256,192,16,16,7,20.3683556732216,20.708727639146083,64,64
15,192,192,256,256,16,16,7,21.340719099648034,20.160756981770838,64,64
