,psnr,rmse,ssim,lpips,bits_per_pixel,compression_ratio,total_time
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,8.952033074877017,0.3643559229870637,0.13035963786145052,-1.0,0.28125,85.33333333333333,383.9753228028615
std,1.8137486938782053,0.07776476675317134,0.03463153641296589,0.0,0.0,0.0,20.50444764460811
min,4.91407147665277,0.21769839525222778,0.06684843450784683,-1.0,0.28125,85.33333333333333,341.18925189971924
25%,8.237696479404448,0.3272038772702217,0.11011183448135853,-1.0,0.28125,85.33333333333333,372.7272463440895
50%,9.142760493508785,0.34903277456760406,0.1326807737350464,-1.0,0.28125,85.33333333333333,378.4282474517822
75%,9.705790342259693,0.38739828020334244,0.1503581665456295,-1.0,0.28125,85.33333333333333,395.39275485277176
max,13.242896197984868,0.56793212890625,0.19924183189868927,-1.0,0.28125,85.33333333333333,417.99776315689087
