tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,8,8,7,33.01486826977879,34.921893334248466,64,64
1,0,64,64,128,8,8,7,21.948886205107687,21.88567280201419,64,64
2,0,128,64,192,8,8,7,31.700890471626355,34.20729844196275,64,64
3,0,192,64,256,8,8,7,36.793693963598336,39.60837907879262,64,64
4,64,0,128,64,8,8,7,19.54138897778887,19.608802632095696,64,64
5,64,64,128,128,8,8,7,15.821038347296572,17.082065899948606,64,64
6,64,128,128,192,8,8,7,29.158635642466383,29.613318388478262,64,64
7,64,192,128,256,8,8,7,28.669042639127007,29.133280682194584,64,64
8,128,0,192,64,8,8,7,17.063175647197216,16.49494888900992,64,64
9,128,64,192,128,8,8,7,14.024329715348742,15.089357412038142,64,64
10,128,128,192,192,8,8,7,16.126087890791677,16.344355967706726,64,64
11,128,192,192,256,8,8,7,18.841123909283567,19.272101484662205,64,64
12,192,0,256,64,8,8,7,15.522899324463058,16.25072531301608,64,64
13,192,64,256,128,8,8,7,16.89401968005932,17.475261020867737,64,64
14,192,128,256,192,8,8,7,15.299017234633197,16.312498018844984,64,64
15,192,192,256,256,8,8,7,14.188833511138254,15.340120610847983,64,64
